iter	RMSE
142	1.434352487
143	1.424154936
144	1.417929986
145	1.413131827
146	1.408902461
147	1.39999993
148	1.394332449
149	1.391830637
150	1.384604338
151	1.3786295
152	1.371130642
153	1.366532093
154	1.360459495
155	1.353592459
156	1.348599257
157	1.34144951
158	1.336391115
159	1.329385978
160	1.326261893
161	1.319267295
162	1.313914122
163	1.312753367
164	1.303779936
165	1.294224745
166	1.292254844
167	1.291152273
168	1.285608331
169	1.278892417
170	1.274993255
171	1.271769862
172	1.266546495
173	1.263093749
174	1.256581976
175	1.249447348
176	1.242564989
177	1.238987063
178	1.229303971
179	1.226851003
180	1.220708619
181	1.219728864
182	1.21850348
183	1.21285022
184	1.211942595
185	1.21084288
186	1.204668156
187	1.197212142
188	1.190619875
189	1.187724587
190	1.186557721
191	1.185558613
192	1.179923177
193	1.178787319
194	1.177900781
195	1.172952794
196	1.168986223
197	1.164368109
198	1.156717704
199	1.151225808
200	1.145370547
201	1.139153202
202	1.133560943
203	1.128129661
204	1.12739569
205	1.122525706
206	1.117765775
207	1.111735742
208	1.105162403
209	1.104205417
210	1.096551054
211	1.090639697
212	1.08595198
213	1.084290752
214	1.078205539
215	1.074309358
216	1.073589789
217	1.072915632
218	1.069444145
219	1.06297657
220	1.062076233
221	1.060931162
222	1.055877427
223	1.055042229
224	1.054283476
225	1.048789254
226	1.04820851
227	1.045005949
228	1.044174928
229	1.039050418
230	1.031897231
231	1.026704792
232	1.021820675
233	1.015691497
234	1.010335307
235	1.006940094
236	1.002963449
237	0.9994288564
238	0.9956782957
239	0.9938659331
240	0.9931141493
241	0.9879084093
242	0.9873851362
243	0.98665997
244	0.9825184251
245	0.9779516781
246	0.9725540857
247	0.9681266878
248	0.9647015983
249	0.9606728582
250	0.9569322703
251	0.9514637413
252	0.9481374278
253	0.9438209223
254	0.9405700187
255	0.9387549618
256	0.9331909126
257	0.929828669
258	0.9294883936
259	0.924047436
260	0.9209859898
261	0.9207111058
262	0.9171033377
263	0.9168103868
264	0.9164730809
265	0.915967891
266	0.9111459648
267	0.9069160209
268	0.9039977778
269	0.9014080273
270	0.8970036059
271	0.893781035
272	0.8910145099
273	0.8881513605
274	0.8879223684
275	0.88523583
276	0.8817454924
277	0.8786907275
278	0.8747136815
279	0.869262964
280	0.8668020279
281	0.8622597008
282	0.8568633114
283	0.8566235261
284	0.8542949474
285	0.8510252892
286	0.8464972376
287	0.8435691002
288	0.840528188
289	0.836761634
290	0.8362797127
291	0.8323746948
292	0.8315538862
293	0.8285784712
294	0.8276535303
295	0.8271883103
296	0.8225674844
297	0.8189922801
298	0.8164006323
299	0.8135467257
300	0.8104113857
301	0.8071797504
302	0.8053259938
303	0.8015746777
304	0.797071158
305	0.7941129259
306	0.7909580384
307	0.7885469172
308	0.7842053281
309	0.783922899
310	0.7819515993
311	0.7796189045
312	0.7790725508
313	0.7750348662
314	0.7726614115
315	0.770416113
316	0.7674358308
317	0.7661104194
318	0.7624603721
319	0.7607691156
320	0.7569842659
321	0.7519786937
322	0.7496183859
323	0.7450493415
324	0.7428163748
325	0.7383840192
326	0.7342996239
327	0.7313249088
328	0.7274851421
329	0.7237894829
330	0.7223638689
331	0.7189137129
332	0.7170560142
333	0.7134586476
334	0.7111552245
335	0.7095754451
336	0.7060343505
337	0.704698186
338	0.7020668775
339	0.6983145932
340	0.6958630707
341	0.6937919983
342	0.6911153702
343	0.688013393
344	0.6861078557
345	0.683887188
346	0.6832815064
347	0.6803412886
348	0.6781537994
349	0.675799251
350	0.6741247258
351	0.6714285974
352	0.6678476385
353	0.6641766647
354	0.6640649253
355	0.6622371743
356	0.661730445
357	0.6585760416
358	0.6580237801
359	0.6560448
360	0.6527871416
361	0.6509174159
362	0.6481263641
363	0.6447295114
364	0.6429926964
365	0.6404292236
366	0.6387231554
367	0.6349198794
368	0.6329959509
369	0.6307453892
370	0.6270733236
371	0.6239049611
372	0.6215944512
373	0.6188861689
374	0.6182555775
375	0.6177422309
376	0.6175485437
377	0.6152150571
378	0.6149703501
379	0.6125416077
380	0.6100416041
381	0.6078273806
382	0.6047913966
383	0.6045716097
384	0.6020054023
385	0.5994616897
386	0.5970563144
387	0.5935533083
388	0.5909138503
389	0.5886932374
390	0.5865458243
391	0.5847246541
392	0.5831447186
393	0.5812010612
394	0.578534144
395	0.5773605815
396	0.5756673183
397	0.5744664286
398	0.571964158
399	0.5697967298
400	0.5663698539
401	0.5661791553
402	0.5638148382
403	0.5612339778
404	0.5601217101
405	0.5588530817
406	0.5585499652
407	0.5556026514
408	0.5543255192
409	0.5534008299
410	0.5531477296
411	0.5495803019
412	0.5468746352
413	0.5449799313
414	0.5435999699
415	0.5420389081
416	0.5414482844
417	0.5399101917
418	0.538044795
419	0.5361574626
420	0.5339512863
421	0.5337291929
422	0.5311766367
423	0.5299092305
424	0.5273962782
425	0.5270183838
426	0.5259649126
427	0.5248042495
428	0.5236766617
429	0.5214963585
430	0.5196764967
431	0.5182957744
432	0.5157701585
433	0.5143287628
434	0.5116061692
435	0.5098941956
436	0.5076922163
437	0.5063201664
438	0.5038378104
439	0.5030127531
440	0.500904525
441	0.4994501893
442	0.4993527094
443	0.4979604022
444	0.4948375844
445	0.49309811
446	0.4908345196
447	0.4900407142
448	0.4895527773
449	0.4877982673
450	0.4849419311
451	0.4827980019
452	0.4813463515
453	0.4791466069
454	0.4775029077
455	0.4756736819
456	0.474857563
457	0.4735686937
458	0.4724343017
459	0.4707829448
460	0.4689542146
461	0.4673813634
462	0.4657458601
463	0.4647210846
464	0.4635102399
465	0.4623287203
466	0.4610891488
467	0.4581624343
468	0.4564967992
469	0.4547281753
470	0.4528582068
471	0.4518565364
472	0.4516226599
473	0.4508810518
474	0.4489008995
475	0.4476273772
476	0.4456069468
477	0.445094104
478	0.4436820773
479	0.441938473
480	0.4406945865
481	0.4391311346
482	0.4388583731
483	0.4379282795
484	0.4378059037
485	0.4369541024
486	0.4354338893
487	0.4328239979
488	0.4314079779
489	0.4305910361
490	0.4295847411
491	0.4282604164
492	0.42625487
493	0.4247695084
494	0.423196145
495	0.4217191034
496	0.4195067922
497	0.4182021394
498	0.4174314706
499	0.4153205419
